Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
halloween2018_ae6015bf	tara	It's Halloween!	game/episodes/halloween/halloween.rpy	52	tara "[what]"
halloween2018_c952a397	tara	IT'S HALLOWEEN!!!	game/episodes/halloween/halloween.rpy	60	tara "[what]"
halloween2018_d9290395	tara	{b}IT'S HALLOWEEN!!!!!!!!!!!!{/b}	game/episodes/halloween/halloween.rpy	82	tara "[what]"
halloween2018_95ce33a4	maddie	Get back here.	game/episodes/halloween/halloween.rpy	86	maddie "[what]"
halloween2018_8dfcdb09	maddie	Do you really have to be like this every single year?	game/episodes/halloween/halloween.rpy	96	maddie closed open lower "[what]"
halloween2018_b4d80c28	tara	Uh, yes? This is literally the best day of the year. I'm legally allowed to be as excited as I want.	game/episodes/halloween/halloween.rpy	99	tara away smirk worry "[what]"
halloween2018_d023cff5	maddie	I don't remember that being a law.	game/episodes/halloween/halloween.rpy	102	maddie attaralow gape "[what]"
halloween2018_7051125f	tara	Well, it isn't a law {i}yet.{/i} But soon…	game/episodes/halloween/halloween.rpy	106	tara shockaway raised smirk "[what]"
halloween2018_6c8fbe37	tara	Soon…	game/episodes/halloween/halloween.rpy	108	tara direct grin normal "[what]"
halloween2018_0ae9bcd0			game/episodes/halloween/halloween.rpy	110	"[what]"
halloween2018_54809cd1	maddie	Well, okay then.	game/episodes/halloween/halloween.rpy	112	maddie away "[what]"
halloween2018_d007f162	tara	ANYWAY! Welcome, everyone, to the Totally Terrifying Taranormal Halloween Special! Or at least the part of it we're going to include in this little bonus game.	game/episodes/halloween/halloween.rpy	114	tara shock yell fierce "[what]"
halloween2018_19e31aae	maddie	These things tend to go on for {i}hours.{/i} Consider yourselves lucky.	game/episodes/halloween/halloween.rpy	116	maddie front raised grin "[what]"
halloween2018_59bc2fd7	tara	On that note, let's start the show by taking a look at some more awesome creations in this very special edition of...	game/episodes/halloween/halloween.rpy	131	tara front smirk normal "[what]"
halloween2018_eebb46df	tara	FRIGHTFUL FANART!	game/episodes/halloween/halloween.rpy	143	tara fierce shock yell "[what]"
halloween2018_4205d308	tara	We've got a real treat for you this week. Our friend Kiri has put together some super awesome comics starring yours truly! And Mads, of course.	game/episodes/halloween/halloween.rpy	149	tara front grin normal "[what]"
halloween2018_133b014e	maddie	I think the term is "4koma."	game/episodes/halloween/halloween.rpy	151	maddie worry open "[what]"
halloween2018_eaeb14aa	tara	Oh yeah! That means you're supposed to read them in a different direction, right?	game/episodes/halloween/halloween.rpy	153	tara raised smile "[what]"
halloween2018_f53a16a7	maddie	Don't worry, you won't get lost. The panels are numbered.	game/episodes/halloween/halloween.rpy	154	maddie front grin normal "[what]"
halloween2018_692326d9	tara	I love this so much.	game/episodes/halloween/halloween.rpy	164	tara closed furrow "[what]"
halloween2018_f3e2a1e7	maddie	It certainly does capture your essence, that's for sure. Except it's usually three in the morning rather than midnight.	game/episodes/halloween/halloween.rpy	166	maddie grin raised "[what]"
halloween2018_db297d51	tara	I wonder if it's possible to actually verbalize emoji…	game/episodes/halloween/halloween.rpy	168	tara avoid smirk fierce "[what]"
halloween2018_ccc8b4c7	maddie	I think I'm better off not knowing, thanks.	game/episodes/halloween/halloween.rpy	170	maddie yell closed worry "[what]"
halloween2018_60222323	maddie	Also, who's Rachel?	game/episodes/halloween/halloween.rpy	173	maddie direct uneven gape "[what]"
halloween2018_0f4db1fd	tara	Probably nobody important. Next!	game/episodes/halloween/halloween.rpy	175	tara direct grin furrow "[what]"
halloween2018_cd3a7458	tara	Now isn't {i}this{/i} a blast from the past.	game/episodes/halloween/halloween.rpy	180	tara front grin normal "[what]"
halloween2018_5f4f1b81	maddie	HAHAHA I DON'T KNOW WHAT YOU'RE TALKING ABOUT! I NEVER LOOKED LIKE THAT!	game/episodes/halloween/halloween.rpy	182	maddie shock grin "[what]"
